episode,steps,total_steps,return,status,on_pad,fuel,epsilon,loss_mean,q_mean,return_avg100,pad_rate100,seconds
159,1000,33032,-106.87,timeout,0,175.62,0.3724,0.427,10.092,-97.78,0.05,11.1
160,659,33691,54.09,landed_off_pad,0,95.79,0.3599,0.3737,2.529,-96.37,0.05,11.3
161,567,34258,79.34,landed_off_pad,0,85.98,0.3491,0.4591,9.363,-93.81,0.05,11.5
162,1000,35258,-45.54,timeout,0,175.74,0.3301,0.435,9.783,-92.43,0.05,11.8
163,1000,36258,-81.81,timeout,0,175.59,0.3111,0.39,9.797,-91.5,0.05,12.1
164,1000,37258,-61.45,timeout,0,174.78,0.2921,0.3749,8.348,-90.9,0.05,12.4
165,1000,38258,-133.1,timeout,0,175.68,0.2731,0.3041,11.387,-91.0,0.05,12.7
166,1000,39258,-89.87,timeout,0,175.83,0.2541,0.3324,10.54,-90.26,0.05,13.1
167,1000,40258,-121.35,timeout,0,174.12,0.2351,0.3454,11.614,-89.35,0.05,13.4
168,1000,41258,-62.97,timeout,0,174.6,0.2161,0.3655,6.333,-88.66,0.05,13.7
169,1000,42258,-106.57,timeout,0,174.09,0.1971,0.3244,10.845,-89.12,0.05,14.0
170,1000,43258,-106.93,timeout,0,170.7,0.1781,0.3549,9.84,-89.5,0.05,14.3
171,1000,44258,-111.35,timeout,0,173.67,0.1591,0.3027,9.731,-88.99,0.05,14.6
172,1000,45258,-97.71,timeout,0,172.29,0.1401,0.3361,7.002,-89.47,0.05,15.0
173,1000,46258,-105.99,timeout,0,169.8,0.1211,0.3269,11.234,-89.28,0.05,15.3
174,1000,47258,-115.63,timeout,0,174.69,0.1021,0.3093,5.732,-88.55,0.05,15.6
175,1000,48258,-29.66,timeout,0,169.8,0.0831,0.2919,6.994,-87.09,0.05,16.0
176,1000,49258,-94.42,timeout,0,169.2,0.0641,0.2672,9.495,-87.29,0.05,16.3
177,1000,50258,-135.36,timeout,0,172.35,0.05,0.3216,8.974,-87.69,0.05,16.6
178,1000,51258,-76.92,timeout,0,170.4,0.05,0.2869,4.425,-86.72,0.05,16.9
179,1000,52258,-93.53,timeout,0,169.59,0.05,0.2727,9.028,-86.51,0.05,17.2
180,1000,53258,-129.04,timeout,0,173.28,0.05,0.2614,9.661,-86.77,0.05,17.6
181,1000,54258,-72.38,timeout,0,170.49,0.05,0.274,9.541,-86.69,0.05,17.9
182,1000,55258,-129.82,timeout,0,169.17,0.05,0.2712,8.653,-86.26,0.05,18.2
183,1000,56258,-46.26,timeout,0,169.71,0.05,0.2548,8.986,-85.22,0.05,18.5
184,1000,57258,-29.48,timeout,0,171.39,0.05,0.2819,6.497,-83.42,0.05,18.8
185,1000,58258,-147.82,timeout,0,170.64,0.05,0.2677,6.712,-84.11,0.05,19.2
186,1000,59258,-99.16,timeout,0,173.28,0.05,0.2457,3.7,-84.32,0.05,19.5
187,1000,60258,-18.72,timeout,0,173.55,0.05,0.2446,6.486,-82.56,0.05,19.8
188,1000,61258,-99.2,timeout,0,173.67,0.05,0.2489,0.981,-82.38,0.05,20.1
189,833,62091,-247.88,out_of_bounds,0,141.06,0.05,0.2008,5.966,-83.88,0.05,20.4
190,1000,63091,-81.07,timeout,0,174.33,0.05,0.2438,2.854,-83.32,0.05,20.7
191,1000,64091,-92.65,timeout,0,172.86,0.05,0.2616,2.332,-83.62,0.05,21.0
192,1000,65091,-61.26,timeout,0,177.66,0.05,0.2383,10.553,-82.98,0.05,21.4
193,1000,66091,-61.32,timeout,0,171.21,0.05,0.2328,0.282,-83.11,0.05,21.7
194,1000,67091,-38.21,timeout,0,172.71,0.05,0.2135,9.71,-81.75,0.05,22.0
195,1000,68091,-53.82,timeout,0,169.38,0.05,0.1834,8.226,-80.73,0.05,22.3
196,1000,69091,-56.84,timeout,0,174.45,0.05,0.2001,1.419,-79.81,0.05,22.6
197,436,69527,-186.39,out_of_bounds,0,73.92,0.05,0.2396,11.347,-79.87,0.05,22.8
198,1000,70527,-73.78,timeout,0,176.46,0.05,0.2049,4.62,-79.17,0.05,23.1
199,1000,71527,-77.53,timeout,0,179.28,0.05,0.2191,3.738,-78.72,0.05,23.4
200,1000,72527,-40.1,timeout,0,175.47,0.05,0.2458,9.398,-78.01,0.05,23.7
201,746,73273,-220.58,out_of_bounds,0,129.18,0.05,0.2155,9.818,-79.2,0.05,24.6
202,1000,74273,-89.91,timeout,0,177.03,0.05,0.1997,2.88,-78.74,0.05,24.9
203,1000,75273,-65.53,timeout,0,174.66,0.05,0.2041,8.702,-77.76,0.05,25.3
204,437,75710,-169.89,out_of_bounds,0,75.54,0.05,0.2025,14.58,-78.41,0.05,25.4
205,1000,76710,-77.47,timeout,0,176.76,0.05,0.2657,2.24,-78.34,0.05,25.7
206,1000,77710,-65.78,timeout,0,176.97,0.05,0.1996,6.959,-77.68,0.05,26.0
207,1000,78710,-76.98,timeout,0,177.51,0.05,0.173,0.793,-77.07,0.05,26.4
208,1000,79710,-92.41,timeout,0,177.93,0.05,0.2604,3.628,-76.22,0.05,26.7
209,1000,80710,-56.51,timeout,0,177.72,0.05,0.1914,2.598,-75.89,0.05,27.0
210,1000,81710,-69.8,timeout,0,177.78,0.05,0.2215,5.682,-75.46,0.05,27.3
211,1000,82710,-61.15,timeout,0,176.7,0.05,0.2477,5.818,-74.96,0.05,27.6
212,1000,83710,-37.35,timeout,0,177.33,0.05,0.1923,5.008,-73.71,0.05,28.0
213,1000,84710,-46.41,timeout,0,178.23,0.05,0.2145,6.577,-73.64,0.05,28.3
214,1000,85710,-46.05,timeout,0,178.35,0.05,0.2303,4.946,-73.41,0.05,28.6
215,1000,86710,-110.43,timeout,0,116.28,0.05,0.2232,15.713,-72.69,0.05,28.9
216,1000,87710,-11.16,timeout,0,177.78,0.05,0.1946,13.288,-71.8,0.05,29.2
217,1000,88710,-40.46,timeout,0,175.77,0.05,0.1926,7.101,-71.15,0.05,29.5
